TABLE NO.  1
 ID          TIME        DV          PRED        RES         WRES        CPRED       CWRES       EPRED       ERES        EWRES
  9.0000E+00  2.0000E+01  2.9796E-02  5.6203E-02 -2.6407E-02 -9.2706E-01  4.9721E-02 -1.1686E+00  7.8956E-02 -4.9160E-02 -8.8562E-01
  1.0000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9546E+01  0.0000E+00  2.2264E+01  0.0000E+00  0.0000E+00
  1.0000E+01  2.0000E-01  7.3867E+00  1.4726E+01 -7.3398E+00 -1.3349E+00  1.4238E+01 -1.8595E+00  1.4966E+01 -7.5790E+00 -1.2888E+00
  1.0000E+01  1.0000E+00  2.3997E+00  4.6510E+00 -2.2513E+00 -8.9540E-01  3.8439E+00 -8.5096E-01  4.3910E+00 -1.9913E+00 -7.7702E-01
  1.0000E+01  4.0000E+00  5.5150E-01  5.5993E-01 -8.4299E-03  7.1888E-01  7.5405E-01  7.4431E-01  7.0085E-01 -1.4935E-01  3.0847E-01
  1.0000E+01  7.0000E+00  1.7891E-01  3.4728E-01 -1.6837E-01 -5.2913E-01  4.1134E-01 -1.2391E+00  4.0562E-01 -2.2671E-01 -5.3060E-01
  1.0000E+01  4.0000E+01  9.2500E-07  3.4156E-03 -3.4147E-03  5.1372E-01  1.2204E-05 -1.3428E+00  1.2917E-02 -1.2916E-02 -2.5091E-01
  1.1000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9884E+01  0.0000E+00  2.1002E+01  0.0000E+00  0.0000E+00
  1.1000E+01  4.0000E-01  1.1109E+01  1.0917E+01  1.9228E-01  5.2761E-03  1.1082E+01 -2.0417E-02  1.0273E+01  8.3601E-01  1.9319E-01
  1.1000E+01  2.0000E+00  2.3962E+00  1.4763E+00  9.1994E-01  6.9674E-01  1.4417E+00  6.7377E-01  1.7944E+00  6.0176E-01  4.4679E-01
  1.1000E+01  1.0000E+01  3.5555E-01  2.2799E-01  1.2756E-01  2.9040E-01  2.0484E-01  7.5812E-02  2.7286E-01  8.2692E-02  1.1756E-01
  1.1000E+01  4.0000E+01  3.1745E-03  3.4156E-03 -2.4110E-04 -5.0664E-01  3.0349E-03 -4.4847E-01  1.3374E-02 -1.0200E-02 -8.5483E-01
  1.1000E+01  7.0000E+01  1.6000E-05  5.1172E-05 -3.5172E-05 -1.7417E-01  3.2639E-05 -1.2361E+00  1.4120E-03 -1.3960E-03  1.1253E-01
  1.2000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9845E+01  0.0000E+00  2.1527E+01  0.0000E+00  0.0000E+00
  1.2000E+01  1.0000E-01  1.4316E+01  1.7137E+01 -2.8210E+00 -4.5134E-01  1.7058E+01 -5.0100E-01  1.7708E+01 -3.3917E+00 -5.3018E-01
  1.2000E+01  4.0000E-01  1.1147E+01  1.0917E+01  2.3028E-01  2.6608E-01  1.0896E+01  3.1079E-01  1.0440E+01  7.0677E-01  3.9756E-01
  1.2000E+01  7.0000E-01  6.1963E+00  7.0540E+00 -8.5772E-01 -3.3556E-01  7.0447E+00 -3.6344E-01  6.6244E+00 -4.2811E-01 -2.1189E-01
  1.2000E+01  4.0000E+00  3.8687E-01  5.5993E-01 -1.7306E-01 -4.0468E-01  5.3527E-01 -5.4280E-01  7.1212E-01 -3.2525E-01 -7.3084E-01
  1.2000E+01  2.0000E+01  7.9254E-02  5.6203E-02  2.3051E-02  6.9875E-01  6.2390E-02  8.4829E-01  8.2324E-02 -3.0700E-03  3.6236E-01
  1.3000E+01  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.4017E+01  0.0000E+00  2.0935E+01  0.0000E+00  0.0000E+00
  1.3000E+01  2.0000E-01  2.7040E+01  1.4726E+01  1.2314E+01  2.2783E+00  1.5114E+01  1.6754E+00  1.4318E+01  1.2722E+01  2.4200E+00
  1.3000E+01  1.0000E+00  2.5709E+00  4.6510E+00 -2.0801E+00 -9.2547E-01  5.1092E+00 -1.1856E+00  4.4769E+00 -1.9060E+00 -1.0764E+00
  1.3000E+01  4.0000E+00  4.4064E-01  5.5993E-01 -1.1929E-01  3.3315E-01  5.0490E-01  1.2459E-01  7.4053E-01 -2.9989E-01  1.0073E-01
