TABLE NO.  1
 ID          TIME        PRED        RES         WRES        CPRED       CWRES       EPRED       ERES        EWRES
  1.3000E+01  1.0000E+00  4.6506E+00 -2.0797E+00 -9.2544E-01  5.1087E+00 -1.1855E+00  4.4765E+00 -1.9056E+00 -1.0764E+00
  1.3000E+01  4.0000E+00  5.5991E-01 -1.1927E-01  3.3302E-01  5.0490E-01  1.2459E-01  7.4049E-01 -2.9985E-01  1.0069E-01
  1.3000E+01  7.0000E+00  3.4727E-01 -7.8714E-02 -1.7486E-01  3.3722E-01 -2.5062E-01  4.2160E-01 -1.5304E-01 -1.4521E-01
  1.3000E+01  4.0000E+01  3.4157E-03  4.6342E-03  1.1353E+00  2.1044E-03  8.4072E-01  1.3769E-02 -5.7195E-03 -1.1750E-01
  1.4000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9824E+01  0.0000E+00  2.1034E+01  0.0000E+00  0.0000E+00
  1.4000E+01  4.0000E-01  1.0916E+01 -3.2330E+00 -8.7619E-01  1.0869E+01 -1.0610E+00  1.0389E+01 -2.7055E+00 -7.3856E-01
  1.4000E+01  2.0000E+00  1.4761E+00  1.6671E-01  2.3696E-01  1.3533E+00  4.6382E-01  1.7179E+00 -7.5099E-02  6.4764E-02
  1.4000E+01  1.0000E+01  2.2799E-01  4.9365E-02  5.1360E-01  2.6989E-01  1.0144E-01  2.6320E-01  1.4146E-02  3.3005E-01
  1.4000E+01  4.0000E+01  3.4157E-03 -3.1905E-03 -4.6048E-01  1.0179E-03 -1.5896E+00  1.2864E-02 -1.2639E-02 -6.3932E-01
  1.4000E+01  7.0000E+01  5.1174E-05 -5.0866E-05  5.0825E-01  1.9546E-06  3.9959E-01  1.3544E-03 -1.3541E-03  3.0175E-01
  1.5000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9858E+01  0.0000E+00  2.1364E+01  0.0000E+00  0.0000E+00
  1.5000E+01  1.0000E-01  1.7136E+01 -2.3445E+00 -8.1829E-02  1.7061E+01 -7.2743E-02  1.7558E+01 -2.7661E+00 -1.8443E-01
  1.5000E+01  4.0000E-01  1.0916E+01 -6.5055E+00 -1.8964E+00  1.0877E+01 -2.1538E+00  1.0357E+01 -5.9468E+00 -1.7689E+00
  1.5000E+01  7.0000E-01  7.0535E+00  1.6730E-02  5.4856E-01  7.0074E+00  6.8749E-01  6.5893E+00  4.8093E-01  8.4251E-01
  1.5000E+01  4.0000E+00  5.5991E-01 -3.7599E-01 -8.2942E-01  4.7192E-01 -1.6074E+00  7.0442E-01 -5.2050E-01 -1.1921E+00
  1.5000E+01  2.0000E+01  5.6203E-02  3.3819E-02  1.3033E+00  8.0655E-02  2.0661E+00  7.9587E-02  1.0435E-02  7.2671E-01
  1.6000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9820E+01  0.0000E+00  2.1298E+01  0.0000E+00  0.0000E+00
  1.6000E+01  2.0000E-01  1.4726E+01  1.1308E-01  1.6915E-02  1.4831E+01 -1.0893E-02  1.4604E+01  2.3462E-01  1.7199E-02
  1.6000E+01  1.0000E+00  4.6506E+00  1.1525E+00  5.4849E-01  4.8035E+00  4.8044E-01  4.3669E+00  1.4362E+00  8.2035E-01
  1.6000E+01  4.0000E+00  5.5991E-01 -1.1710E-01 -2.5833E-01  5.0035E-01 -1.0589E-01  7.0407E-01 -2.6126E-01 -6.5605E-01
  1.6000E+01  7.0000E+00  3.4727E-01 -1.7431E-01 -1.0920E+00  3.2788E-01 -1.5749E+00  4.0657E-01 -2.3361E-01 -9.5884E-01
  1.6000E+01  4.0000E+01  3.4157E-03  2.4065E-03  1.8728E-01  3.2828E-03 -1.7400E-01  1.3263E-02 -7.4405E-03 -2.7335E-01
  1.7000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.8713E+01  0.0000E+00  2.2459E+01  0.0000E+00  0.0000E+00
  1.7000E+01  4.0000E-01  1.0916E+01 -6.4168E+00 -1.6626E+00  1.2619E+01 -2.1619E+00  1.0460E+01 -5.9608E+00 -1.4695E+00
  1.7000E+01  2.0000E+00  1.4761E+00 -1.1819E+00 -6.8282E-01  7.3991E-01 -4.6710E-01  1.6574E+00 -1.3632E+00 -7.9967E-01
  1.7000E+01  1.0000E+01  2.2799E-01 -1.2002E-01  4.4179E-01  1.7856E-01  1.2731E+00  2.6626E-01 -1.5829E-01  1.8635E-01
  1.7000E+01  4.0000E+01  3.4157E-03 -1.0606E-03  7.0135E-01  2.7555E-03  8.6319E-01  1.1694E-02 -9.3385E-03  1.2444E-01
  1.7000E+01  7.0000E+01  5.1174E-05 -2.1074E-05 -4.7540E-02  4.0896E-05 -1.1365E+00  1.1040E-03 -1.0739E-03  1.3352E-02
