TABLE NO.  4: MCMC Bayesian Analysis (No Prior): Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9969  1.64598E+00  1.50774E+00  7.63368E-01  2.37885E+00  6.06491E-02  2.15358E-01  9.60135E-03  1.18731E-01 -2.34132E-02 -1.06759E-02  1.28659E-01 -3.94749E-02  2.61926E-03  3.77109E-02  1.78425E-01   -2378.8148344860379
        -9968  1.64856E+00  1.56721E+00  7.05410E-01  2.28740E+00  5.13058E-02  1.66722E-01  6.74724E-03  1.42197E-01 -1.62550E-02 -9.94427E-03  1.54195E-01 -2.62195E-02  1.85051E-02 -1.40590E-02  1.58353E-01   -2360.4059418720863
        -9967  1.69055E+00  1.48891E+00  6.92501E-01  2.31566E+00  5.62788E-02  1.60711E-01  2.16977E-02  1.36521E-01 -2.25866E-02  2.18973E-02  1.57481E-01 -3.36175E-02  3.43972E-02  2.26181E-02  1.24908E-01   -2363.6841732020221
        -9966  1.73274E+00  1.58235E+00  6.80458E-01  2.32699E+00  6.02199E-02  1.75987E-01  3.64604E-03  1.32622E-01 -1.42971E-02 -6.19912E-03  2.22538E-01 -5.07328E-02 -5.93376E-03  3.47568E-02  1.51312E-01   -2344.7217642965652
        -9965  1.71815E+00  1.54788E+00  6.79347E-01  2.27594E+00  5.57436E-02  1.53188E-01 -3.83488E-03  1.28344E-01 -1.75482E-02  2.21879E-02  1.78399E-01 -2.06620E-02  2.25285E-02  1.34543E-02  1.51479E-01   -2339.8691000916638
        -9964  1.64218E+00  1.59138E+00  7.45449E-01  2.40899E+00  5.71453E-02  1.78850E-01  2.36333E-02  1.38147E-01 -2.27769E-02 -1.22556E-02  2.17349E-01 -2.80986E-03  3.17632E-02  3.19023E-02  1.48589E-01   -2362.1005421401219
        -9963  1.56258E+00  1.55987E+00  7.45128E-01  2.32907E+00  4.81875E-02  1.77402E-01  5.80239E-03  1.59275E-01  2.78531E-02  5.21569E-02  2.25793E-01 -2.78361E-02  4.77075E-02  5.53191E-02  1.96173E-01   -2374.5781755742710
        -9962  1.67241E+00  1.64329E+00  7.25622E-01  2.33211E+00  5.52978E-02  1.40505E-01 -9.97515E-03  1.28116E-01  5.56949E-03  5.35419E-02  2.12149E-01 -6.39531E-02  2.12046E-02  2.95877E-02  1.54092E-01   -2319.3614585005712
        -9961  1.60803E+00  1.53824E+00  6.32016E-01  2.37319E+00  6.38517E-02  1.64623E-01 -3.13405E-02  1.38821E-01 -2.61461E-03  7.14192E-02  2.72937E-01 -5.52711E-02  3.80055E-02  5.77732E-02  1.79077E-01   -2327.8725805052213
        -9960  1.63030E+00  1.51824E+00  6.40104E-01  2.31683E+00  6.06639E-02  1.85070E-01 -1.99709E-02  1.14475E-01  4.02090E-02  4.94929E-02  2.10959E-01 -2.50113E-02  1.94335E-02  3.58439E-02  2.00856E-01   -2338.7679447973237
        -9959  1.59532E+00  1.54709E+00  5.87230E-01  2.31517E+00  5.38603E-02  1.50702E-01 -2.44422E-02  9.59972E-02 -8.27764E-03  1.89257E-02  1.97722E-01 -4.00949E-02  1.67932E-02  5.60514E-02  2.11124E-01   -2322.2463771981429
        -9958  1.64916E+00  1.65545E+00  7.01373E-01  2.34681E+00  5.43293E-02  1.45957E-01 -4.33454E-02  1.18279E-01  2.90110E-02  2.74708E-03  1.45157E-01 -4.12606E-02  2.22351E-02  2.26208E-02  1.92927E-01   -2334.7345295133796
        -9957  1.58382E+00  1.58788E+00  6.24848E-01  2.35902E+00  5.59176E-02  1.32128E-01 -2.93698E-02  1.17363E-01  2.16211E-02  1.63860E-02  1.82384E-01 -1.95282E-02  2.09565E-02  9.93013E-03  2.04872E-01   -2350.3343809547459
        -9956  1.64836E+00  1.50609E+00  6.55129E-01  2.31666E+00  5.45437E-02  1.27471E-01 -6.83504E-03  9.22695E-02  5.85586E-03  1.40726E-02  1.64542E-01 -3.49399E-03  1.42081E-02  4.51592E-02  1.60072E-01   -2342.1696221901984
        -9955  1.56912E+00  1.50215E+00  7.44064E-01  2.35752E+00  5.75855E-02  1.69167E-01 -1.46939E-02  1.31882E-01 -1.95188E-04  2.42222E-02  1.82517E-01 -2.23414E-02  1.52984E-02  5.17934E-03  1.33651E-01   -2354.3207264832440
        -9954  1.70871E+00  1.50013E+00  6.18459E-01  2.39771E+00  6.21407E-02  1.46471E-01 -2.06302E-03  1.14572E-01 -1.41145E-02 -2.49118E-03  1.35993E-01  1.47892E-02  8.91252E-03  6.05275E-02  2.23247E-01   -2319.9612564944127
        -9953  1.63881E+00  1.55741E+00  7.63775E-01  2.37616E+00  5.39936E-02  1.46143E-01 -2.58582E-02  1.57191E-01  3.99096E-03 -5.43884E-03  1.07180E-01 -2.28317E-02  1.52751E-02  1.38886E-02  1.60519E-01   -2376.0092660791925
        -9952  1.59186E+00  1.53697E+00  7.27779E-01  2.28018E+00  5.09851E-02  1.44776E-01 -3.74741E-03  1.03355E-01 -1.85297E-02 -8.50167E-04  1.48982E-01 -4.69600E-02 -1.15818E-02  5.22017E-02  2.09030E-01   -2425.3447786203260
        -9951  1.60727E+00  1.52732E+00  6.87871E-01  2.34599E+00  5.46718E-02  1.73032E-01 -3.81709E-02  1.34407E-01 -2.43650E-02 -2.08109E-02  1.80775E-01 -3.69622E-02  6.75762E-03  5.82619E-02  1.61241E-01   -2410.9362655659688
        -9950  1.63131E+00  1.52927E+00  6.25483E-01  2.24552E+00  5.26267E-02  2.18378E-01  1.23833E-02  1.04555E-01 -1.46583E-02 -3.25488E-02  1.64166E-01 -5.44468E-02 -7.79762E-03  3.37103E-02  1.91562E-01   -2370.7625161658821
        -9949  1.71018E+00  1.54061E+00  7.41643E-01  2.25650E+00  5.44230E-02  1.29101E-01 -3.60082E-03  1.02385E-01 -6.59826E-03 -1.96578E-02  1.74885E-01 -1.33114E-03  1.09066E-02  4.19976E-02  1.59289E-01   -2342.2284274213675
        -9948  1.59772E+00  1.54037E+00  6.79306E-01  2.25435E+00  5.71311E-02  1.41252E-01  4.45579E-05  1.14544E-01 -1.66908E-02 -2.43352E-03  1.59279E-01 -2.50411E-02  2.11877E-02  6.37733E-02  2.49816E-01   -2311.4212612171559
        -9947  1.63810E+00  1.55771E+00  6.95966E-01  2.26062E+00  6.31347E-02  1.30809E-01 -1.38230E-02  1.31692E-01  1.69571E-02 -7.94083E-03  2.04039E-01  9.54166E-03  2.10367E-02  3.30537E-02  1.45273E-01   -2347.7350193944762
